상호명;분류;설명;위치;주소(신,구);리뷰수;태그
미즈컨테이너 대구대 본점;이탈리아음식;바베큐 플레이트, 샐러드, 스파게티 전문 레스토랑.;[35.9013531, 128.8469174];['경북 경산시 진량읍 대구대로 201 대구대학교경산캠퍼스', '경북 경산시 진량읍 내리리 15'];359;['떠먹는피자', '샐러드파스타', '녹차아이스크림', '시끌벅적한', '드라이브']
안동하회마을;한식;;[35.896693, 128.849814];['경북 경산시 진량읍 대구대로 248', '경북 경산시 진량읍 내리리 100-5'];35;['간고등어', '찜닭', '경치', '데이트', '야경']
카페무화;카페,디저트;;[35.8965561, 128.8512019];['경북 경산시 진량읍 대구대로 252-10 2층', '경북 경산시 진량읍 내리리 94-17'];19;['카페', '친구랑']
빨봉분식 대구대점;종합분식;경상북도 경산시 진량읍 내리리 위치, 분식집.;[35.897145, 128.846384];['경북 경산시 진량읍 대구대로 216-1', '경북 경산시 진량읍 내리리 451-17'];15;['치즈떡볶이', '연탄불고기', '만두', '덮밥', '돈가스']
집으로돼지 대구대본점;돼지고기구이;경상북도 경산시 진량읍 내리리 위치, 삼겹살 도시락 전문점.;[35.8948256, 128.8511919];['경북 경산시 진량읍 대구대로 290-7', '경북 경산시 진량읍 내리리 82-6'];11;['삼겹살', '도시락', '김치찌개', '혼자']
쓰리에프;요리주점;;[35.8967135, 128.8493696];['경북 경산시 진량읍 대구대로 244', '경북 경산시 진량읍 내리리 100-7'];9;[]
나잇앤데이;카페,디저트;;[35.896947, 128.8461375];['경북 경산시 진량읍 대구대로 214', '경북 경산시 진량읍 내리리 451-20'];8;[]
디나폴리카페;피자;;[35.8945279, 128.8518532];['경북 경산시 진량읍 대구대로 290-1', '경북 경산시 진량읍 내리리 72-73'];8;[]
더오니기리 경산대구대점;오니기리;일본식 수제 삼각김밥 전문점.;[35.8967902, 128.8491824];['경북 경산시 진량읍 대구대로 240', '경북 경산시 진량읍 내리리 108-5'];6;[]
투존치킨 대구대점;치킨,닭강정;;[35.9012497, 128.833879];['경북 경산시 진량읍 대구대로 91-2', '경북 경산시 진량읍 상림리 228-3'];6;[]
핸즈커피 대구대점;카페;아메리카노, 카푸치노, 카페라떼, 빙수 등 메뉴 안내.;[35.89679, 128.849191];['경북 경산시 진량읍 대구대로 240', '경북 경산시 진량읍 내리리 108-5'];5;[]
막구어;육류,고기요리;막창, 삼겹살, 차돌박이 등 막창 구이 전문점.;[35.8955664, 128.8519425];['경북 경산시 진량읍 대구대로 278', '경북 경산시 진량읍 내리리 66-2'];5;['막창', '삼겹살', '돼지갈비', '김치말이국수']
뉴니크;퓨전음식;;[35.8968804, 128.8511038];['경북 경산시 진량읍 대구대로 252-7', '경북 경산시 진량읍 내리리 94-4'];5;['초밥']
우당탕반점;중식당;;[35.89689, 128.850538];['경북 경산시 진량읍 대구대로 252-1', '경북 경산시 진량읍 내리리 94-7'];5;[]
